cnpjorigemdados;dataatualizacao;iditem;descricaoitem;vlrunitario;armazem;qtdtotal;vlrtotal;qtdpedidavenda;qtdreservada;qtdprevisaoentrada;dtultimavenda;teste
12345678000199;2021-08-19 00:45:36;11M7012;Contra-pino;0.48;P02--137;4.00;1.90;0;0;0;2020-03-31;2019-08-05
12345678000199;2021-08-19 00:45:36;11M7017;CONTRA-PINO;0.35;P05--038;6.00;2.10;0;0;0;2020-03-12;2017-03-01
12345678000199;2021-08-19 00:45:36;11M7021;CONTRA-PINO;0.64;P06--105;8.00;5.08;0;0;0;2020-11-23;2018-04-06
12345678000199;2021-08-19 00:45:36;11M7023;Contra-pino;0.69;P16--234;89.00;60.99;0;0;0;2019-03-19;2017-12-06
12345678000199;2021-08-19 00:45:36;11M7028;CONTRA-PINO;0.66;P04--098;29.00;19.28;0;0;0;2020-09-01;2017-01-17
12345678000199;2021-08-19 00:45:36;11M7029;CONTRA-PINO;0.39;P02--126;25.00;9.66;0;0;0;2020-01-02;2019-11-07
12345678000199;2021-08-19 00:45:36;11M7030;CONTRA-PINO;0.83;P06--141;8.00;6.60;0;0;0;2020-10-16;2020-10-14
12345678000199;2021-08-19 00:45:36;11M7032;CONTRA-PINO;0.84;P06--028;36.00;30.19;0;0;0;2019-10-31;2020-01-21
12345678000199;2021-08-19 00:45:36;11M7054;CONTRA-PINO;0.89;P07--106;29.00;25.74;0;0;0;2021-01-05;2020-10-05
12345678000199;2021-08-19 00:45:36;11M7059;CONTRA-PINO;0.41;P02--029;3.00;1.23;0;0;0;2020-03-28;2020-03-02
12345678000199;2021-08-19 00:45:36;11M7082;CONTRA-PINO;0.34;P02--343;4.00;1.35;0;0;0;2020-08-21;2020-03-24
12345678000199;2021-08-19 00:45:36;11M7083;CONTRA-PINO;0.30;P02--192;6.00;1.80;0;0;0;2019-06-10;2019-06-05
12345678000199;2021-08-19 00:45:36;11M7087;CONTRA-PINO;0.26;P05--075;1.00;0.26;0;0;0;2020-08-14;2020-08-18
12345678000199;2021-08-19 00:45:36;11M7092;Contra-pino;0.44;P04--095;6.00;2.65;0;0;0;2017-02-24;2020-06-04
12345678000199;2021-08-19 00:45:36;124424 ;MOLA DE COMPRESSAO;11.44;P11--075;3.00;34.33;0;0;0;2020-01-31;2020-01-30
12345678000199;2021-08-19 00:45:36;12H245 ;ARRUELA DE PRESSAO;1.46;P04--031;2.00;2.92;0;0;0;2015-08-19;2020-04-24
12345678000199;2021-08-19 00:45:36;12H292 ;Arruela de pressao;0.39;P03--079;1.00;0.39;0;0;0;2019-08-10;2019-03-29
12345678000199;2021-08-19 00:45:36;12H294 ;ARRUELA DE PRESSAO;1.25;P07--097;33.00;41.28;0;0;0;2020-12-31;2021-01-06
12345678000199;2021-08-19 00:45:36;12H301 ;ARRUELA DE PRESSAO;0.64;P16--080;37.00;23.62;0;0;0;2020-12-31;2021-01-14
12345678000199;2021-08-19 00:45:36;12M6191;Arrela de disco ;3.00;P02--138;10.00;29.95;0;0;0;2020-03-24;2020-05-05
12345678000199;2021-08-19 00:45:36;12M6601;MOLA DE DISCO;4.16;P03--085;1.00;4.16;0;0;0;2020-06-24;2020-06-22
12345678000199;2021-08-19 00:45:36;12M7044;ARRUELA DE PRESSAO;1.81;P06--144;7.00;12.65;0;0;0;2020-02-27;2019-03-29
12345678000199;2021-08-19 00:45:36;12M7060;ARRUELA;0.13;P05--116;6.00;0.75;0;0;0;2019-11-22;2019-03-06
12345678000199;2021-08-19 00:45:36;12M7065;Arruela de pressao;0.47;P16--158;29.00;13.61;0;0;0;2020-08-12;2019-01-16
12345678000199;2021-08-19 00:45:36;12M7066;ARRUELA DE PRESSAO;0.17;P07--064;10.00;1.67;0;0;0;2020-08-11;2019-04-22
12345678000199;2021-08-19 00:45:36;12M7067;ARRUELA DE PRESSAO;0.54;P10--004;10.00;5.36;0;0;0;2020-03-01;2019-04-18
12345678000199;2021-08-19 00:45:36;12M7069;ARRUELA DE PRESSAO;0.84;P07--096;13.00;10.86;0;0;0;2019-05-31;2018-02-09
12345678000199;2021-08-19 00:45:36;12P1011;Anel o ;1.97;P04--091;10.00;19.72;0;0;0;2019-02-04;2020-02-03
12345678000199;2021-08-19 00:45:36;12P1013;ANEL O ;0.83;P03--247;4.00;3.30;0;0;0;2020-05-04;2020-04-15
12345678000199;2021-08-19 00:45:36;13P1004;Rolamento de esfeRas;56.41;P08--089;4.00;225.62;0;0;0;2020-12-21;2020-11-23
12345678000199;2021-08-19 00:45:36;13P1008;Rolamento de esfeRas;8.94;P04--045;10.00;89.42;0;0;0;2020-12-21;2021-01-22
12345678000199;2021-08-19 00:45:36;13P1018;ROLAMENTO DE ESFERAS;89.35;P04--052;2.00;178.69;0;0;0;2020-03-26;2019-02-14
12345678000199;2021-08-19 00:45:36;13P1023;ROLAMENTO ;280.52;P03--048;1.00;280.52;0;0;0;2019-04-23;2019-04-24
12345678000199;2021-08-19 00:45:36;13P1037;ROLAMENTO DE ESFERAS;22.06;P11--016;7.00;154.45;0;0;0;2012-11-20;2020-12-09
12345678000199;2021-08-19 00:45:36;13P1044;Rolamento de agulhas;50.28;P06--115;4.00;201.11;0;0;0;2018-11-29;2019-01-18
12345678000199;2021-08-19 00:45:36;14H1040;PORCA;1.16;P04--194;91.00;105.69;0;0;0;2020-12-31;2021-01-14
12345678000199;2021-08-19 00:45:36;14H1058;PORCA;2.41;P03--297;5.00;12.05;0;0;0;2020-08-06;2019-08-22
12345678000199;2021-08-19 00:45:36;14H1069;PORCA;2.27;P09--011;75.00;170.59;0;0;0;2020-12-31;2021-01-14
12345678000199;2021-08-19 00:45:36;14H1076;Porca;0.58;P16--164;30.00;17.31;0;0;0;2020-12-31;2021-01-05
12345678000199;2021-08-19 00:45:36;14H1086;PORCA;11.23;P02--350;7.00;78.59;0;0;0;2019-05-31;2019-01-23
12345678000199;2021-08-19 00:45:36;14H605 ;PORCA;0.38;P16--196;94.00;36.00;0;0;0;2020-02-28;2020-02-21
12345678000199;2021-08-19 00:45:36;14H631 ;PORCA;0.29;P02--204;26.00;7.58;0;0;0;2020-11-26;1900-01-01
12345678000199;2021-08-19 00:45:36;14H649 ;Porca;0.33;P05--043;1.00;0.33;0;0;0;2020-02-05;1900-01-01
12345678000199;2021-08-19 00:45:36;14H785 ;PORCA;0.11;P05--092;8.00;0.91;0;0;0;2020-11-26;2020-01-13
12345678000199;2021-08-19 00:45:36;14H800 ;PORCA;2.62;P07--072;22.00;57.73;0;0;0;2020-11-27;2020-12-07
12345678000199;2021-08-19 00:45:36;14H821 ;PORCA;1.78;P03--130;10.00;17.78;0;0;0;2011-08-30;2020-09-09
12345678000199;2021-08-19 00:45:36;14H826 ;PORCA;0.77;P04--083;6.00;4.63;0;0;0;2018-07-13;1900-01-01
12345678000199;2021-08-19 00:45:36;14H860 ;PORCA;0.19;P06--094;5.00;0.94;0;0;0;2019-02-22;1900-01-01
12345678000199;2021-08-19 00:45:36;14H875 ;PORCA;5.54;P08--073;5.00;27.69;0;0;0;2020-06-04;2017-01-12
12345678000199;2021-08-19 00:45:36;14M5409;PORCA;7.87;P02--142;4.00;31.46;0;0;0;2011-07-12;2020-10-01
12345678000199;2021-08-19 00:45:36;14M7009;Porca;0.32;P03--233;1.00;0.32;0;0;0;2018-12-28;2018-11-29
12345678000199;2021-08-19 00:45:36;14M7020;PORCA BORBOLETA ;0.98;P16--059;22.00;21.45;0;0;0;2020-09-01;2020-09-04
12345678000199;2021-08-19 00:45:36;14M7027;PORCA;0.30;P02--062;28.00;8.53;0;0;0;2020-04-01;2021-01-21
12345678000199;2021-08-19 00:45:36;14M7029;USE 14M7273 - PORCA ;0.56;P02--029;23.00;12.85;0;0;0;2020-03-19;2020-09-22
12345678000199;2021-08-19 00:45:36;14M7031;PORCA;1.60;P04--108;10.00;16.00;0;0;0;2020-03-01;2020-04-13
12345678000199;2021-08-19 00:45:36;14M7066;Porca;1.26;P05--107;3.00;3.78;0;0;0;2019-06-21;2018-04-19
12345678000199;2021-08-19 00:45:36;14M7136;PORCA;0.16;P02--093;3.00;0.49;0;0;0;2019-08-23;2019-08-09
12345678000199;2021-08-19 00:45:36;14M7138;Porca;3.66;P02--399;4.00;14.63;0;0;0;2019-10-22;2019-09-26
12345678000199;2021-08-19 00:45:36;14M7139;PORCA;0.30;P04--148;7.00;2.08;0;0;0;2020-08-19;2020-08-19
12345678000199;2021-08-19 00:45:36;14M7140;PORCA;0.71;P11--019;22.00;15.61;0;0;0;2020-08-11;2019-01-21
12345678000199;2021-08-19 00:45:36;14M7142;PORCA;2.22;P07--066;21.00;46.59;0;0;0;2020-12-18;2020-12-29
12345678000199;2021-08-19 00:45:36;14M7163;Porca;0.56;P04--089;41.00;22.81;0;0;0;2018-09-25;2019-02-08
12345678000199;2021-08-19 00:45:36;14M7165;Porca de seguranca;0.30;P03--039;15.00;4.54;0;0;0;2020-10-16;2020-09-23
12345678000199;2021-08-19 00:45:36;14M7166;Porca de seguranca;0.27;P02--289;51.00;13.72;0;0;0;2020-12-15;2020-12-09
12345678000199;2021-08-19 00:45:36;14M7167;PORCA DE SEGURANCA;0.71;P03--035;5.00;3.55;0;0;0;2020-12-14;2017-03-13
12345678000199;2021-08-19 00:45:36;14M7168;PORCA DE SEGURANCA;1.12;P03--296;46.00;51.70;0;0;0;2020-12-15;2020-12-09
12345678000199;2021-08-19 00:45:36;14M7170;PORCA DE SEGURANCA;0.48;P11--016;16.00;7.66;0;0;0;2020-10-16;2020-03-19
12345678000199;2021-08-19 00:45:36;14M7174;PORCA DE SEGURANCA;14.24;P06--140;4.00;56.95;0;0;0;2013-07-06;2020-01-30
12345678000199;2021-08-19 00:45:36;14M7209;PORCA;2.76;P03--223;2.00;5.51;0;0;0;2018-04-05;2017-08-11
12345678000199;2021-08-19 00:45:36;14M7226;Porca;1.83;P06--191;2.00;3.66;0;0;0;2018-03-07;1900-01-01
12345678000199;2021-08-19 00:45:36;14M7238;PORCA COM FLANGE;11.59;P03--258;9.00;104.29;0;0;0;2020-12-23;2021-01-07
12345678000199;2021-08-19 00:45:36;14M7257;PORCA;3.58;P16--039;1.00;3.58;0;0;0;2020-06-12;2020-06-08
12345678000199;2021-08-19 00:45:36;14M7260;PORCA;1.44;P04--021;3.00;4.33;0;0;0;2020-12-15;2020-12-09
12345678000199;2021-08-19 00:45:36;14M7272;PORCA;0.39;P10--050;47.00;18.46;0;0;0;2020-12-17;2020-09-08
12345678000199;2021-08-19 00:45:36;14M7273;Porca;0.69;P16--069;57.00;39.22;0;0;0;2020-09-22;2020-09-28
12345678000199;2021-08-19 00:45:36;14M7274;Porca;1.06;P03--268;45.00;47.50;0;0;0;2020-11-26;2020-09-04
12345678000199;2021-08-19 00:45:36;14M7275;PORCA;1.26;P03--006;17.00;21.35;0;0;0;2020-10-13;2017-02-03
12345678000199;2021-08-19 00:45:36;14M7276;PORCA;2.62;P07--063;126.00;329.82;0;0;0;2020-12-08;2020-11-06
12345678000199;2021-08-19 00:45:36;14M7277;PORCA;6.58;P03--279;15.00;98.66;0;0;0;2021-01-14;2021-01-08
12345678000199;2021-08-19 00:45:36;14M7278;PORCA;7.49;P05--065;2.00;14.97;0;0;0;2020-11-17;2020-11-24
12345678000199;2021-08-19 00:45:36;14M7291;PORCA COM FLANGE;4.46;P06--258;16.00;71.36;0;0;0;2020-12-14;2019-03-06
12345678000199;2021-08-19 00:45:36;14M7296;Porca com flange;1.73;P09--046;253.00;436.49;0;0;0;2020-12-14;2021-01-19
12345678000199;2021-08-19 00:45:36;14M7297;PORCA;0.25;P16--181;43.00;10.55;0;0;0;2019-03-28;1900-01-01
12345678000199;2021-08-19 00:45:36;14M7298;PORCA COM FLANGE;0.42;P02--102;50.00;21.19;0;0;0;2020-09-11;2020-09-04
12345678000199;2021-08-19 00:45:36;14M7299;PORCA COM FLANGE;1.66;P07--108;47.00;77.95;0;0;0;2020-12-14;2020-09-30
12345678000199;2021-08-19 00:45:36;14M7300;PORCA COM FLANGE;5.71;P04--238;1.00;5.71;0;0;0;2020-10-22;2020-10-30
12345678000199;2021-08-19 00:45:36;14M7303;Porca com flange;0.75;P07--089;376.00;280.33;0;0;0;2020-12-28;2021-01-19
12345678000199;2021-08-19 00:45:36;14M7313;PORCA DE SEGURANCA;2.57;P03--155;12.00;30.89;0;0;0;2020-12-31;2021-01-14
12345678000199;2021-08-19 00:45:36;14M7319;PORCA DE SEGURANCA;2.82;P04--086;11.00;31.05;0;0;0;2019-01-08;2019-03-06
12345678000199;2021-08-19 00:45:36;14M7329;PORCA DE SEGURANCA;2.12;P03--111;6.00;12.71;0;0;0;2020-10-23;2020-10-29
12345678000199;2021-08-19 00:45:36;14M7331;PORCA;5.81;P06--228;1.00;5.81;0;0;0;2019-09-04;2019-09-03
12345678000199;2021-08-19 00:45:36;14M7332;PORCA COM FLANGE;6.94;P11--054;4.00;27.75;0;0;0;2018-06-13;2019-02-08
12345678000199;2021-08-19 00:45:36;14M7360;PORCA DE SEGURANCA;0.47;P04--049;1.00;0.47;0;0;0;2019-10-25;2019-10-25
12345678000199;2021-08-19 00:45:36;14M7382;PORCA;4.57;P03--070;2.00;9.13;0;0;0;2020-12-15;2020-12-09
12345678000199;2021-08-19 00:45:36;14M7396;PORCA DE SEGURANCA;1.77;P03--276;25.00;44.37;0;0;0;2020-12-15;2020-12-09
12345678000199;2021-08-19 00:45:36;14M7397;Porca de seguranca;1.19;P07--083;18.00;21.40;0;0;0;2020-12-31;2021-01-06
12345678000199;2021-08-19 00:45:36;14M7400;PORCA DE SEGURANCA;2.49;P02--067;12.00;29.90;0;0;0;2020-09-14;2020-08-21
12345678000199;2021-08-19 00:45:36;14M7410;PORCA DE SEGURANCA;6.35;P04--065;1.00;6.35;0;0;0;2020-10-16;2020-10-14
12345678000199;2021-08-19 00:45:36;14M7413;PORCA DE SEGURANCA;10.28;P06--002;10.00;102.78;0;0;0;2016-08-16;2020-09-30
12345678000199;2021-08-19 00:45:36;14M7425;PORCA;9.69;P06--196;2.00;19.37;0;0;0;2021-01-08;2020-10-05
12345678000199;2021-08-19 00:45:36;14M7426;Porca de seguranca;1.81;P03--090;10.00;18.08;0;0;0;2020-09-01;2020-09-04
12345678000199;2021-08-19 00:45:36;14M7452;PORCA DE SEGURANCA;1.59;P16--169;10.00;15.91;0;0;0;2018-09-25;2018-09-26
